¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,Çö´ë,0.275,133,5322,4480,692,1233,190,13,134,1851,653,111,38
2,SK,0.272,133,5254,4499,655,1223,196,9,138,1851,626,105,35
3,»ï¼º,0.269,133,5170,4509,641,1215,225,9,132,1854,600,84,31
4,ÇÑÈ­,0.268,133,5150,4519,632,1213,245,17,140,1912,605,88,33
5,µÎ»ê,0.268,133,5109,4485,606,1200,202,19,89,1707,573,55,40
6,KIA,0.267,133,5190,4426,643,1182,224,9,143,1853,610,82,54
7,LG,0.259,133,5081,4432,588,1150,176,24,102,1680,554,73,40
8,·Ôµ¥,0.252,133,5075,4462,533,1125,195,21,88,1626,500,74,31
