¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KIA,0.302,499,19,89,891,117,0.469,0.370,0.839,144,0.324,0.254
2,µÎ»ê,0.294,541,19,95,960,120,0.459,0.369,0.828,144,0.296,0.200
3,NC,0.293,471,19,130,979,119,0.443,0.365,0.808,144,0.292,0.249
4,³Ø¼¾,0.290,468,15,83,1066,129,0.437,0.357,0.794,144,0.290,0.230
5,ÇÑÈ­,0.287,416,15,94,974,112,0.435,0.350,0.785,144,0.290,0.281
6,·Ôµ¥,0.285,457,33,112,1018,146,0.433,0.356,0.789,144,0.280,0.229
7,LG,0.281,438,17,101,1021,123,0.400,0.348,0.748,144,0.295,0.217
8,»ï¼º,0.279,429,17,70,983,97,0.428,0.340,0.768,144,0.285,0.220
9,KT,0.275,374,11,66,1017,118,0.410,0.332,0.742,144,0.290,0.239
10,SK,0.271,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237
