¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,»ï¼º,133,88,7,3589,1424,112,0.983,13,86,66,43.4
2,·Ôµ¥,133,87,11,3571,1520,134,0.983,9,89,45,33.6
3,Çö´ë,133,78,7,3561,1467,112,0.985,12,82,45,35.4
4,SK,133,83,10,3559,1469,147,0.984,12,90,60,40.0
5,KIA,133,79,2,3549,1451,151,0.984,7,62,43,41.0
6,ÇÑÈ­,133,95,8,3542,1397,115,0.981,11,96,40,29.4
7,µÎ»ê,133,88,6,3533,1409,146,0.983,11,82,40,32.8
8,LG,133,104,13,3493,1361,142,0.979,16,64,51,44.3
