¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,Çö´ë,0.286,133,5313,4483,723,1280,208,15,175,2043,673,139,38
2,»ï¼º,0.284,133,5241,4564,769,1295,236,14,213,2198,744,73,38
3,µÎ»ê,0.276,133,5165,4536,563,1251,205,21,90,1768,541,63,52
4,KIA,0.272,133,5127,4448,657,1211,219,16,129,1849,626,94,37
5,SK,0.272,133,5157,4445,644,1208,209,16,156,1917,612,127,32
6,·Ôµ¥,0.256,133,4987,4465,491,1143,232,18,73,1630,451,83,28
7,ÇÑÈ­,0.254,133,5198,4458,577,1131,218,20,121,1752,521,102,21
8,LG,0.249,133,4964,4375,509,1088,188,29,106,1652,485,74,40
