¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,NC,4.29,3,4,59,19,5003,19320,0.271,223,12,78,38,8,50,5
2,»ï¼º,4.52,3,6,63,18,4990,19628,0.275,257,24,66,40,11,51,3
3,LG,4.58,2,9,47,21,5028,19440,0.275,195,27,72,44,25,51,1
4,·Ôµ¥,5.19,0,4,46,14,5092,19761,0.295,250,26,82,42,13,54,1
5,³Ø¼¾,5.25,0,3,43,12,5107,20728,0.293,231,18,57,36,2,55,4
6,µÎ»ê,5.43,4,2,42,14,5066,19670,0.295,243,29,63,55,4,56,4
7,SK,5.51,2,3,41,15,5112,20141,0.287,239,21,60,36,19,67,1
8,KIA,5.82,2,5,42,21,5143,20272,0.293,252,32,66,52,8,78,1
9,ÇÑÈ­,6.35,2,3,37,11,5312,20365,0.318,265,48,69,59,14,83,3
