¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,»ï¼º,3.76,133,73,52,42,74,0.584,1196,1092,118,505,85,994,564,500,1.33
2,µÎ»ê,3.88,133,70,62,38,47,0.530,1177,1144,95,457,75,799,560,508,1.36
3,Çö´ë,4.06,133,75,53,36,32,0.586,1187,1193,123,440,59,842,590,535,1.38
4,·Ôµ¥,4.22,133,50,72,29,46,0.410,1190,1216,109,449,76,753,608,558,1.40
5,LG,4.31,133,59,70,35,64,0.457,1164,1235,116,543,64,783,637,557,1.53
6,SK,4.40,133,61,64,29,49,0.488,1186,1173,116,538,110,891,644,580,1.44
7,KIA,4.51,133,67,61,27,24,0.523,1183,1198,119,496,120,773,637,593,1.43
8,ÇÑÈ­,5.21,133,53,74,37,36,0.417,1180,1290,170,455,92,699,750,683,1.48
