¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,»ï¼º,0.301,128,5152,4464,812,1345,238,23,161,2112,763,76,43
2,³Ø¼¾,0.298,128,5163,4434,841,1323,275,31,199,2257,786,65,40
3,µÎ»ê,0.293,128,5083,4427,687,1299,235,26,108,1910,646,81,43
4,SK,0.291,128,5082,4423,735,1285,245,22,115,1919,696,91,49
5,KIA,0.288,128,5023,4443,662,1279,246,27,121,1942,631,67,35
6,·Ôµ¥,0.287,128,5194,4487,716,1288,252,26,121,1955,685,62,41
7,ÇÑÈ­,0.283,128,5055,4417,619,1251,223,24,104,1834,594,50,43
8,NC,0.282,128,5031,4426,737,1249,228,36,143,1978,697,44,51
9,LG,0.279,128,5070,4349,668,1214,213,22,90,1741,622,77,57
