¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,SK,0.282,126,5003,4332,632,1222,215,23,89,1750,591,80,38
2,·Ôµ¥,0.282,126,4890,4256,624,1200,199,22,93,1722,590,62,51
3,µÎ»ê,0.276,126,4975,4344,647,1198,166,37,68,1642,598,36,44
4,¿ì¸®,0.266,126,4834,4317,499,1149,190,19,70,1587,471,51,33
5,KIA,0.260,126,4832,4210,503,1095,188,28,48,1483,465,85,35
6,»ï¼º,0.258,126,4859,4180,557,1078,186,16,92,1572,520,70,38
7,LG,0.256,126,4743,4184,468,1070,164,23,66,1478,447,85,50
8,ÇÑÈ­,0.254,126,4882,4275,592,1086,204,20,120,1690,566,52,35
