¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,Çö´ë,0.270,126,4798,4092,547,1104,172,9,92,1570,518,153,32
2,µÎ»ê,0.258,126,4708,4147,455,1068,152,28,55,1441,425,81,27
3,KIA,0.255,126,4754,4181,476,1067,191,22,62,1488,431,102,26
4,»ï¼º,0.255,126,4779,4091,538,1043,192,9,73,1472,505,90,42
5,SK,0.254,126,4793,4177,509,1059,171,19,99,1565,488,96,33
6,ÇÑÈ­,0.253,126,4769,4170,511,1057,191,3,110,1584,481,68,30
7,·Ôµ¥,0.250,126,4766,4137,488,1034,173,3,88,1477,463,124,21
8,LG,0.246,126,4724,4217,457,1037,181,16,81,1493,430,92,32
