¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,»ï¼º,128,77,6,3432,1171,104,0.984,8,100,44,30.6
2,LG,128,91,10,3428,1414,125,0.982,9,119,48,28.7
3,NC,128,87,6,3407,1384,125,0.982,9,94,43,31.4
4,·Ôµ¥,128,89,16,3400,1407,134,0.982,11,84,37,30.6
5,³Ø¼¾,128,79,12,3395,1342,125,0.984,7,118,44,27.2
6,SK,128,107,3,3388,1373,132,0.978,6,103,51,33.1
7,ÇÑÈ­,128,113,7,3387,1344,126,0.977,12,110,59,34.9
8,µÎ»ê,128,81,3,3371,1268,102,0.983,7,113,46,28.9
9,KIA,128,94,7,3365,1348,131,0.980,7,162,64,28.3
