¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,Å°¿ò,0.282,514,13,69,943,122,0.414,0.354,0.768,144,0.300,0.276
2,NC,0.278,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179
3,µÎ»ê,0.278,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202
4,KT,0.277,475,15,52,975,113,0.385,0.344,0.729,144,0.270,0.218
5,LG,0.267,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222
6,KIA,0.264,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.190
7,SK,0.262,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252
8,ÇÑÈ­,0.256,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187
9,»ï¼º,0.256,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204
10,·Ôµ¥,0.250,429,12,65,1085,108,0.358,0.316,0.674,144,0.250,0.193
