¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,SK,126,102,9,3453,1464,133,0.980,6,89,65,42.2
2,µÎ»ê,126,92,5,3404,1325,111,0.981,12,109,46,29.7
3,ÇÑÈ­,126,61,8,3389,1457,150,0.988,9,171,55,24.3
4,¿ì¸®,126,100,10,3376,1403,121,0.980,10,123,58,32.0
5,KIA,126,75,5,3372,1481,129,0.985,6,143,54,27.4
6,»ï¼º,126,69,9,3370,1387,119,0.986,9,124,59,32.2
7,·Ôµ¥,126,92,3,3357,1507,155,0.981,7,112,55,32.9
8,LG,126,76,13,3325,1365,118,0.984,7,87,51,37.0
