¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,SK,144,87,9,3877,1416,131,0.984,3,105,31,22.8
2,NC,144,95,6,3853,1477,130,0.982,4,64,49,43.4
3,µÎ»ê,144,83,8,3851,1430,131,0.985,6,96,32,25.0
4,LG,144,95,6,3850,1507,139,0.983,7,115,41,26.3
5,Å°¿ò,144,99,13,3837,1509,128,0.982,6,92,46,33.3
6,KT,144,102,7,3831,1479,137,0.981,15,90,43,32.3
7,»ï¼º,144,105,4,3826,1370,132,0.980,9,90,38,29.7
8,·Ôµ¥,144,114,8,3813,1432,131,0.979,11,91,44,32.6
9,ÇÑÈ­,144,106,8,3806,1488,151,0.980,10,104,49,32.0
10,KIA,144,110,5,3792,1381,126,0.979,9,116,50,30.1
