¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,µÎ»ê,126,189,132,57,69.8,72,8
2,»ï¼º,126,173,121,52,69.9,56,6
3,SK,126,164,117,47,71.3,58,11
4,KIA,126,136,93,43,68.4,46,8
5,LG,126,117,84,33,71.8,30,8
6,Çö´ë,126,118,71,47,60.2,53,9
7,ÇÑÈ­,126,93,65,28,69.9,41,3
8,·Ôµ¥,126,103,62,41,60.2,68,7
