¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,Çö´ë,0.271,126,4920,4260,530,1154,178,7,96,1634,507,125,32
2,·Ôµ¥,0.270,126,4894,4273,533,1152,193,18,76,1609,501,104,39
3,LG,0.268,126,4933,4322,532,1160,186,19,78,1618,508,89,43
4,SK,0.264,126,4881,4236,603,1118,212,20,112,1706,568,87,40
5,µÎ»ê,0.263,126,4856,4199,578,1103,209,32,78,1610,543,68,51
6,KIA,0.257,126,4811,4204,499,1080,198,16,73,1529,465,78,45
7,ÇÑÈ­,0.254,126,4805,4128,534,1050,165,13,104,1553,502,87,28
8,»ï¼º,0.254,126,4895,4186,497,1062,191,9,86,1529,469,95,39
