¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,·Ôµ¥,0.288,466,19,64,836,124,0.422,0.358,0.780,133,0.290,0.229
2,µÎ»ê,0.271,513,17,81,799,118,0.388,0.354,0.742,133,0.279,0.190
3,KIA,0.269,554,11,59,782,110,0.395,0.357,0.752,133,0.280,0.203
4,LG,0.266,463,15,49,858,106,0.377,0.338,0.715,133,0.271,0.169
5,SK,0.263,470,15,67,891,88,0.385,0.340,0.725,133,0.263,0.238
6,»ï¼º,0.259,522,23,69,940,97,0.376,0.343,0.719,132,0.262,0.167
7,ÇÑÈ­,0.255,488,14,74,906,93,0.362,0.338,0.700,133,0.287,0.212
8,³Ø¼¾,0.245,460,16,51,992,94,0.353,0.323,0.676,132,0.252,0.212
