¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,SK,3.71,2,11,53,9,5114,20297,0.243,155,17,85,22,27,80,2
2,»ï¼º,3.94,2,7,35,12,5119,19811,0.260,203,20,84,38,11,61,3
3,KIA,4.39,4,7,54,26,5205,20067,0.272,232,14,102,35,19,53,4
4,³Ø¼¾,4.55,1,2,42,12,5231,21053,0.265,201,16,93,48,17,66,3
5,µÎ»ê,4.62,2,7,50,12,5131,19681,0.266,194,23,89,47,6,58,2
6,·Ôµ¥,4.82,7,6,63,14,5204,19218,0.282,227,20,89,37,41,49,3
7,LG,5.23,3,8,34,19,5326,20443,0.284,209,14,106,52,23,74,6
8,ÇÑÈ­,5.43,6,6,46,9,5267,20322,0.286,229,14,85,41,17,65,5
