¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,SK,126,90,8,3372,1436,137,0.982,6,121,50,29.2
2,ÇÑÈ­,126,84,6,3364,1421,105,0.983,7,123,51,29.3
3,·Ôµ¥,126,84,10,3356,1529,123,0.983,13,70,48,40.7
4,KIA,126,66,8,3355,1426,133,0.986,6,77,39,33.6
5,»ï¼º,126,76,3,3354,1293,94,0.984,5,78,48,38.1
6,µÎ»ê,126,95,7,3347,1306,110,0.980,19,108,47,30.3
7,Çö´ë,126,93,6,3344,1326,125,0.980,3,81,23,22.1
8,LG,126,82,9,3330,1382,132,0.983,7,64,42,39.6
