¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,»ï¼º,3.35,133,79,50,48,74,0.612,1196,1191,92,395,38,841,513,445,1.33
2,SK,3.59,133,71,59,37,63,0.546,1192,1001,93,541,65,1006,522,476,1.29
3,KIA,4.10,133,70,63,29,37,0.526,1163,1117,87,457,76,920,580,530,1.35
4,LG,4.15,133,59,72,30,50,0.450,1193,1173,80,512,71,827,620,550,1.41
5,·Ôµ¥,4.20,133,72,56,27,45,0.563,1187,1256,113,430,58,787,619,554,1.42
6,µÎ»ê,4.26,133,61,70,34,46,0.466,1188,1231,96,476,75,855,619,563,1.44
7,³Ø¼¾,4.36,133,51,80,30,66,0.389,1171,1167,81,601,76,830,622,568,1.51
8,ÇÑÈ­,5.11,133,59,72,26,36,0.450,1175,1273,128,524,55,938,727,667,1.53
