¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,µÎ»ê,4.45,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4
2,NC,4.48,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7
3,SK,4.87,1,5,60,12,5659,21558,0.280,232,22,61,48,18,65,7
4,³Ø¼¾,4.96,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3
5,KIA,4.97,7,5,58,21,5771,22527,0.290,230,23,75,54,18,69,7
6,LG,5.04,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1
7,·Ôµ¥,5.63,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5
8,»ï¼º,5.64,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8
9,ÇÑÈ­,5.76,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6
10,KT,5.92,1,2,38,15,5896,23328,0.310,315,38,73,45,9,77,9
