¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,SK,3.41,2,10,50,0,4822,18822,0.240,160,11,88,23,14,31,1
2,µÎ»ê,3.42,2,14,55,0,4774,18006,0.251,148,6,82,33,13,56,2
3,»ï¼º,3.83,2,7,40,0,4791,18580,0.244,197,21,93,23,11,49,5
4,·Ôµ¥,4.30,2,6,58,0,4845,18373,0.260,191,17,98,26,41,44,1
5,ÇÑÈ­,4.41,2,6,55,0,4870,18413,0.279,187,16,79,45,9,35,2
6,Çö´ë,4.68,2,9,47,0,4930,18926,0.273,205,21,85,33,2,43,3
7,KIA,4.81,8,5,41,0,4975,19287,0.276,200,7,91,33,16,59,3
8,LG,4.90,3,7,50,0,4969,19542,0.283,200,18,88,40,27,48,5
