¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,µÎ»ê,144,77,2,3866,1403,147,0.986,8,68,43,38.7
2,»ï¼º,144,79,5,3856,1337,133,0.985,7,100,38,27.5
3,·Ôµ¥,144,117,5,3851,1426,132,0.978,14,101,41,28.9
4,³Ø¼¾,144,106,16,3846,1506,147,0.981,7,70,39,35.8
5,SK,144,116,6,3824,1434,133,0.978,6,95,39,29.1
6,KT,144,99,9,3823,1502,161,0.982,21,99,42,29.8
7,ÇÑÈ­,144,99,10,3822,1397,141,0.981,11,83,41,33.1
8,KIA,144,94,8,3812,1371,127,0.982,11,95,40,29.6
9,LG,144,100,7,3806,1404,121,0.981,10,100,41,29.1
10,NC,144,107,7,3792,1401,141,0.980,19,86,46,34.8
