¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,·Ôµ¥,0.288,420,15,67,873,105,0.461,0.352,0.813,133,0.315,0.202
2,µÎ»ê,0.281,533,27,89,834,97,0.440,0.365,0.805,133,0.284,0.210
3,LG,0.276,486,25,54,907,97,0.411,0.349,0.760,133,0.287,0.192
4,SK,0.274,485,25,98,813,86,0.412,0.355,0.767,132,0.284,0.243
5,»ï¼º,0.272,621,29,75,916,111,0.406,0.368,0.774,133,0.265,0.247
6,³Ø¼¾,0.262,480,16,68,874,119,0.374,0.340,0.714,132,0.268,0.221
7,KIA,0.260,523,14,85,865,110,0.383,0.347,0.730,133,0.263,0.165
8,ÇÑÈ­,0.244,497,10,80,943,106,0.359,0.331,0.690,133,0.263,0.172
