¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,Çö´ë,0.275,607,29,86,871,109,0.413,0.370,0.783,133,0.286,0.280
2,SK,0.272,521,24,93,818,98,0.411,0.357,0.768,132,0.271,0.159
3,»ï¼º,0.269,460,22,86,704,122,0.411,0.346,0.757,131,0.268,0.160
4,ÇÑÈ­,0.268,456,14,54,923,107,0.423,0.340,0.763,133,0.262,0.248
5,µÎ»ê,0.268,433,12,96,780,86,0.381,0.342,0.723,132,0.268,0.218
6,KIA,0.267,549,22,79,693,118,0.419,0.354,0.773,132,0.263,0.263
7,LG,0.259,441,18,95,892,89,0.379,0.337,0.716,133,0.264,0.193
8,·Ôµ¥,0.252,416,15,92,853,99,0.364,0.327,0.691,132,0.248,0.146
