¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,µÎ»ê,126,252,189,63,75.0,47,8
2,SK,126,253,170,83,67.2,52,7
3,·Ôµ¥,126,201,133,68,66.2,77,9
4,KIA,126,196,131,65,66.8,62,11
5,LG,126,156,111,45,71.2,48,8
6,ÇÑÈ­,126,122,97,25,79.5,38,4
6,¿ì¸®,126,154,97,57,63.0,44,10
8,»ï¼º,126,96,59,37,61.5,53,6
