¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,³Ø¼¾,133,251,179,72,71.3,53,16
2,LG,133,197,140,57,71.1,61,6
3,KIA,133,183,132,51,72.1,51,8
4,»ï¼º,133,173,125,48,72.3,63,8
5,·Ôµ¥,133,172,119,53,69.2,46,7
6,µÎ»ê,133,167,116,51,69.5,62,10
7,ÇÑÈ­,133,160,107,53,66.9,50,16
8,SK,133,179,104,75,58.1,57,4
