¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,Çö´ë,0.270,444,17,77,628,108,0.384,0.350,0.734,126,0.272,0.207
2,µÎ»ê,0.258,368,14,83,635,102,0.347,0.328,0.675,126,0.258,0.176
3,KIA,0.255,390,20,55,650,90,0.356,0.325,0.681,126,0.247,0.259
4,»ï¼º,0.255,477,14,79,689,107,0.360,0.341,0.701,126,0.254,0.246
5,SK,0.254,424,19,63,859,84,0.375,0.329,0.704,126,0.246,0.254
6,ÇÑÈ­,0.253,442,13,59,800,120,0.380,0.331,0.711,123,0.240,0.195
7,·Ôµ¥,0.250,418,17,65,815,84,0.357,0.327,0.684,125,0.268,0.184
8,LG,0.246,330,19,52,813,86,0.354,0.306,0.660,125,0.232,0.208
