¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,Çö´ë,4.34,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1
2,SK,4.38,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1
3,»ï¼º,4.39,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8
4,·Ôµ¥,4.68,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2
5,ÇÑÈ­,4.82,7,5,49,0,5331,20774,0.280,238,26,73,45,44,57,5
6,µÎ»ê,4.96,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0
7,KIA,5.01,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3
8,LG,5.09,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6
