¼øÀ§,ÆÀ¸í,G,SBA,SB,CS,SB%,OOB,PKO
1,KIA,133,194,155,39,79.9,54,8
2,LG,133,203,140,63,69.0,46,7
3,µÎ»ê,133,148,106,42,71.6,46,1
4,ÇÑÈ­,133,159,94,65,59.1,38,3
5,SK,133,135,80,55,59.3,60,11
6,Çö´ë,133,129,79,50,61.2,50,6
7,·Ôµ¥,133,139,76,63,54.7,51,9
8,»ï¼º,133,76,47,29,61.8,49,5
