¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,NC,4.26,144,84,57,37,55,0.596,1279,1283,149,436,113,1057,655,605,1.34
2,LG,4.62,144,64,78,25,44,0.451,1279,1352,125,490,98,1063,721,657,1.44
3,»ï¼º,4.69,144,88,56,34,60,0.611,1275,1323,182,423,64,1194,716,665,1.37
4,SK,4.71,144,69,73,31,60,0.486,1280,1358,153,517,70,1149,724,670,1.46
5,KIA,4.79,144,67,77,32,65,0.465,1273,1371,143,572,98,979,739,678,1.53
6,³Ø¼¾,4.91,144,78,65,29,44,0.545,1286,1404,146,518,81,1066,790,701,1.49
7,µÎ»ê,5.02,144,79,65,30,57,0.549,1286,1385,138,584,77,1064,776,718,1.53
8,·Ôµ¥,5.07,144,66,77,19,47,0.462,1281,1461,164,489,87,1015,802,722,1.52
9,ÇÑÈ­,5.11,144,68,76,32,44,0.472,1279,1349,157,648,96,920,800,727,1.56
10,KT,5.56,144,52,91,16,31,0.364,1266,1518,154,577,87,1046,875,782,1.65
