¼øÀ§,ÆÀ¸í,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,LG,133,96,12,3606,1558,125,0.982,8,126,65,34.0
2,µÎ»ê,133,78,11,3580,1472,124,0.985,12,101,68,40.2
3,·Ôµ¥,133,83,8,3571,1469,119,0.984,4,109,61,35.9
4,»ï¼º,133,67,13,3563,1337,105,0.987,7,122,49,28.7
5,³Ø¼¾,133,78,12,3562,1510,145,0.985,7,170,54,24.1
6,KIA,133,88,7,3551,1498,122,0.983,7,107,49,31.4
7,SK,133,63,9,3544,1414,143,0.987,6,95,54,36.2
8,ÇÑÈ­,133,73,3,3517,1428,104,0.985,9,165,60,26.7
